subject	activity	featDomain	featAcceleration	featInstrument	featJerk	featMagnitude	featVariable	featAxis	count	average
1	WALKING	Freq	NA	Gyroscope	Jerk	Magnitude	SD	NA	95	-0.381601911789474
1	WALKING	Freq	Body	Accelerometer	NA	NA	Mean	X	95	-0.202794306326316
1	WALKING	Freq	Body	Accelerometer	NA	NA	Mean	Y	95	0.0897127264021053
1	WALKING	Freq	Body	Accelerometer	NA	NA	Mean	Z	95	-0.331560117789474
1	WALKING	Freq	Body	Accelerometer	NA	NA	SD	X	95	-0.319134719578947
1	WALKING	Freq	Body	Accelerometer	NA	NA	SD	Y	95	0.056040006846
1	WALKING	Freq	Body	Accelerometer	NA	NA	SD	Z	95	-0.279686751494737
1	WALKING	Freq	Body	Accelerometer	NA	Magnitude	Mean	NA	95	-0.128623450629474
1	WALKING	Freq	Body	Accelerometer	NA	Magnitude	SD	NA	95	-0.398032586842105
1	WALKING	Freq	Body	Accelerometer	Jerk	NA	Mean	X	95	-0.170546964549579
1	WALKING	Freq	Body	Accelerometer	Jerk	NA	Mean	Y	95	-0.0352255241130632
1	WALKING	Freq	Body	Accelerometer	Jerk	NA	Mean	Z	95	-0.468999224631579
1	WALKING	Freq	Body	Accelerometer	Jerk	NA	SD	X	95	-0.133586606326316
1	WALKING	Freq	Body	Accelerometer	Jerk	NA	SD	Y	95	0.106739857136
1	WALKING	Freq	Body	Accelerometer	Jerk	NA	SD	Z	95	-0.534713440421053
1	WALKING	Freq	Body	Accelerometer	Jerk	Magnitude	Mean	NA	95	-0.0571194000343158
1	WALKING	Freq	Body	Accelerometer	Jerk	Magnitude	SD	NA	95	-0.103492403002105
1	WALKING_DOWNSTAIRS	Time	NA	Gyroscope	NA	NA	Mean	X	49	-0.0350781902989796
1	WALKING_DOWNSTAIRS	Time	NA	Gyroscope	NA	NA	Mean	Y	49	-0.0909371290204082
1	WALKING_DOWNSTAIRS	Time	NA	Gyroscope	NA	NA	Mean	Z	49	0.0900850142030612
1	WALKING_DOWNSTAIRS	Time	NA	Gyroscope	NA	NA	SD	X	49	-0.458030542938775
1	WALKING_DOWNSTAIRS	Time	NA	Gyroscope	NA	NA	SD	Y	49	-0.126349194938775
1	WALKING_DOWNSTAIRS	Time	NA	Gyroscope	NA	NA	SD	Z	49	-0.124702454242857
1	WALKING_DOWNSTAIRS	Time	NA	Gyroscope	NA	Magnitude	Mean	NA	49	-0.0757412543673469
1	WALKING_DOWNSTAIRS	Time	NA	Gyroscope	NA	Magnitude	SD	NA	49	-0.225724368061224
1	WALKING_DOWNSTAIRS	Time	NA	Gyroscope	Jerk	NA	Mean	X	49	-0.0739592036271429
1	WALKING_DOWNSTAIRS	Time	NA	Gyroscope	Jerk	NA	Mean	Y	49	-0.0439902783367347
1	WALKING_DOWNSTAIRS	Time	NA	Gyroscope	Jerk	NA	Mean	Z	49	-0.0270461061061224
1	WALKING_DOWNSTAIRS	Time	NA	Gyroscope	Jerk	NA	SD	X	49	-0.487027342244898
1	WALKING_DOWNSTAIRS	Time	NA	Gyroscope	Jerk	NA	SD	Y	49	-0.238824827530612
1	WALKING_DOWNSTAIRS	Time	NA	Gyroscope	Jerk	NA	SD	Z	49	-0.268761480242857
1	WALKING_DOWNSTAIRS	Time	NA	Gyroscope	Jerk	Magnitude	Mean	NA	49	-0.295463843346939
1	WALKING_DOWNSTAIRS	Time	NA	Gyroscope	Jerk	Magnitude	SD	NA	49	-0.306510645530612
1	WALKING_DOWNSTAIRS	Time	Body	Accelerometer	NA	NA	Mean	X	49	0.289188320408163
1	WALKING_DOWNSTAIRS	Time	Body	Accelerometer	NA	NA	Mean	Y	49	-0.00991850461020408
1	WALKING_DOWNSTAIRS	Time	Body	Accelerometer	NA	NA	Mean	Z	49	-0.107566190908163
1	WALKING_DOWNSTAIRS	Time	Body	Accelerometer	NA	NA	SD	X	49	0.0300353383483878
1	WALKING_DOWNSTAIRS	Time	Body	Accelerometer	NA	NA	SD	Y	49	-0.0319359434489796
1	WALKING_DOWNSTAIRS	Time	Body	Accelerometer	NA	NA	SD	Z	49	-0.230434213204082
1	WALKING_DOWNSTAIRS	Time	Body	Accelerometer	NA	Magnitude	Mean	NA	49	0.0271882914106122
1	WALKING_DOWNSTAIRS	Time	Body	Accelerometer	NA	Magnitude	SD	NA	49	0.0198843506265306
1	WALKING_DOWNSTAIRS	Time	Body	Accelerometer	Jerk	NA	Mean	X	49	0.0541553164897959
1	WALKING_DOWNSTAIRS	Time	Body	Accelerometer	Jerk	NA	Mean	Y	49	0.0296504490408163
1	WALKING_DOWNSTAIRS	Time	Body	Accelerometer	Jerk	NA	Mean	Z	49	-0.0109719730183673
1	WALKING_DOWNSTAIRS	Time	Body	Accelerometer	Jerk	NA	SD	X	49	-0.012283860544898
1	WALKING_DOWNSTAIRS	Time	Body	Accelerometer	Jerk	NA	SD	Y	49	-0.101601390640816
1	WALKING_DOWNSTAIRS	Time	Body	Accelerometer	Jerk	NA	SD	Z	49	-0.345735032326531
1	WALKING_DOWNSTAIRS	Time	Body	Accelerometer	Jerk	Magnitude	Mean	NA	49	-0.0894474807979592
1	WALKING_DOWNSTAIRS	Time	Body	Accelerometer	Jerk	Magnitude	SD	NA	49	-0.0257877197081633
1	WALKING_DOWNSTAIRS	Time	Gravity	Accelerometer	NA	NA	Mean	X	49	0.931874418979592
1	WALKING_DOWNSTAIRS	Time	Gravity	Accelerometer	NA	NA	Mean	Y	49	-0.266610338979592
